psutil.Process(pid=596, name='com.apple.quicklook.ThumbnailsAgent', status='running', started='2021-08-04 08:06:18')
psutil.Process(pid=597, name='ContactsAccountsService', status='running', started='2021-08-04 08:06:18')
psutil.Process(pid=600, name='UIKitSystem', status='running', started='2021-08-04 08:06:18')
psutil.Process(pid=601, name='CallHistoryPluginHelper', status='running', started='2021-08-04 08:06:18')
psutil.Process(pid=602, name='IMDPersistenceAgent', status='running', started='2021-08-04 08:06:18')
psutil.Process(pid=603, name='CalNCService', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=604, name='sharingd', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=605, name='Spotlight', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=606, name='colorsync.useragent', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=607, name='photolibraryd', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=608, name='SoftwareUpdateNotificationManager', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=609, name='parsecd', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=612, name='suhelperd', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=613, name='pbs', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=614, name='commerce', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=615, name='cloudd', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=616, name='akd', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=617, name='WeatherWidget', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=618, name='StocksWidget', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=619, name='ScreenTimeWidgetExtension', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=620, name='CalendarWidgetExtension', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=621, name='adid', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=622, name='WorldClockWidget', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=623, name='NewsToday2', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=624, name='rtcreportingd', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=625, name='com.apple.siri.embeddedspeech', status='running', started='2021-08-04 08:06:19')
psutil.Process(pid=626, name='com.apple.geod', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=628, name='Keychain Circle Notification', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=630, name='cdpd', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=631, name='ProtectedCloudKeySyncing', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=632, name='CloudKeychainProxy', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=633, name='ctkd', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=634, name='ctkd', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=636, name='com.apple.Mobile', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=637, name='xpcroleaccountd', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=638, name='WiFiVelocityAgent', status='running', started='2021-08-04 08:06:20')
psutil.Process(pid=639, name='wifivelocityd', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=640, name='spindump', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=641, name='mediaremoteagent', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=642, name='familycircled', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=643, name='spindump_agent', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=644, name='homed', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=645, name='SubmitDiagInfo', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=646, name='CoreLocationAgent', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=647, name='IMRemoteURLConnectionAgent', status='running', started='2021-08-04 08:06:21')
psutil.Process(pid=648, name='fmfd', status='running', started='2021-08-04 08:06:22')
psutil.Process(pid=650, name='amsengagementd', status='running', started='2021-08-04 08:06:22')
psutil.Process(pid=651, name='IMRemoteURLConnectionAgent', status='running', started='2021-08-04 08:06:22')
psutil.Process(pid=652, name='IMRemoteURLConnectionAgent', status='running', started='2021-08-04 08:06:22')
psutil.Process(pid=653, name='IMRemoteURLConnectionAgent', status='running', started='2021-08-04 08:06:22')
psutil.Process(pid=655, name='corespotlightd', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=657, name='fileproviderd', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=661, name='ContextService', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=662, name='CategoriesService', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=663, name='CategoriesService', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=664, name='neagent', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=665, name='CMFSyncAgent', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=666, name='CategoriesService', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=667, name='CategoriesService', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=668, name='suggestd', status='running', started='2021-08-04 08:06:23')
psutil.Process(pid=670, name='SidecarRelay', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=672, name='QuickLookSatellite', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=673, name='AMPLibraryAgent', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=675, name='com.apple.hiservices-xpcservice', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=676, name='imklaunchagent', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=677, name='PAH_Extension', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=678, name='com.apple.CloudDocs.MobileDocumentsFileProvider', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=680, name='PodcastContentService', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=681, name='fairplayd', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=682, name='PlugInLibraryService', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=683, name='com.apple.BKAgentService', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=684, name='ScopedBookmarkAgent', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=685, name='IMRemoteURLConnectionAgent', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=686, name='AMPArtworkAgent', status='running', started='2021-08-04 08:06:24')
psutil.Process(pid=688, name='sysmond', status='running', started='2021-08-04 08:06:25')
psutil.Process(pid=689, name='AudioComponentRegistrar', status='running', started='2021-08-04 08:06:25')
psutil.Process(pid=690, name='CarbonComponentS', status='running', started='2021-08-04 08:06:25')
psutil.Process(pid=692, name='AssetCacheLocatorService', status='running', started='2021-08-04 08:06:25')
psutil.Process(pid=693, name='AssetCache', status='running', started='2021-08-04 08:06:25')
psutil.Process(pid=694, name='distnoted', status='running', started='2021-08-04 08:06:25')
psutil.Process(pid=695, name='AssetCacheTether', status='running', started='2021-08-04 08:06:25')
psutil.Process(pid=696, name='ContainerMetadataExtractor', status='running', started='2021-08-04 08:06:26')
psutil.Process(pid=697, name='distnoted', status='running', started='2021-08-04 08:06:26')
psutil.Process(pid=698, name='nfcd', status='running', started='2021-08-04 08:06:27')
psutil.Process(pid=699, name='systemstats', status='running', started='2021-08-04 08:06:27')
psutil.Process(pid=700, name='com.apple.cmio.r', status='running', started='2021-08-04 08:06:27')
psutil.Process(pid=701, name='USBAgent', status='running', started='2021-08-04 08:06:27')
psutil.Process(pid=702, name='UsageTrackingAgent', status='running', started='2021-08-04 08:06:27')
psutil.Process(pid=704, name='distnoted', status='running', started='2021-08-04 08:06:27')
psutil.Process(pid=711, name='akd', status='running', started='2021-08-04 08:06:28')
psutil.Process(pid=717, name='findmydevice-user-agent', status='running', started='2021-08-04 08:06:32')
psutil.Process(pid=721, name='followupd', status='running', started='2021-08-04 08:06:35')
psutil.Process(pid=730, name='com.apple.audio.SandboxHelper', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=731, name='corespeechd', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=735, name='LogiMgrDaemon', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=736, name='Siri', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=737, name='icdd', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=739, name='askpermissiond', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=742, name='AirPlayUIAgent', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=743, name='cloudpaird', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=744, name='diagnostics_agent', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=745, name='TextInputMenuAgent', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=746, name='amsaccountsd', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=748, name='ctkahp', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=749, name='Windscribe', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=750, name='TextInputSwitcher', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=751, name='ctkahp', status='running', started='2021-08-04 08:06:42')
psutil.Process(pid=755, name='CallHistorySyncHelper', status='running', started='2021-08-04 08:06:43')
psutil.Process(pid=756, name='MessagesBlastDoorService', status='running', started='2021-08-04 08:06:44')
